statusId | label
8|climbing
statusId|sensorName|value|timestamp
8|Gravity|[-2.8810906,8.392132,-4.1763406]|1525758733679
8|3-axis Accelerometer|[-0.50757074,10.414778,5.0900726]|1525758733684
8|3-axis Uncalibrated Gyroscope|[-0.13209683,-0.19707993,-0.054330144,0.009587673,-0.0031958907,0.0021305939]|1525758733684
8|3-axis Gyroscope|[-0.14168449,-0.19388404,-0.05646074]|1525758733684
8|Game Rotation Vector|[0.2796728,0.7956471,0.42177418,0.33291963]|1525758733684
8|Linear Acceleration|[2.3741672,2.0067139,9.233796]|1525758733684
8|Gravity|[-2.881738,8.408064,-4.1437235]|1525758733685
8|3-axis Uncalibrated Gyroscope|[-0.1395539,-0.29934844,0.07776668,0.009587673,-0.0031958907,0.0021305939]|1525758733690
8|3-axis Gyroscope|[-0.14914156,-0.29615256,0.07563608]|1525758733690
8|Game Rotation Vector|[0.27973083,0.79452455,0.42320046,0.33374053]|1525758733690
8|Linear Acceleration|[2.3713255,1.9888906,9.199425]|1525758733690
8|Gravity|[-2.8788962,8.425887,-4.109352]|1525758733690
8|3-axis Accelerometer|[-0.18195933,10.486604,4.8362875]|1525758733694
8|3-axis Uncalibrated Gyroscope|[-0.1384886,-0.40374753,0.23223473,0.009587673,-0.0031958907,0.0021305939]|1525758733694
8|3-axis Gyroscope|[-0.14807628,-0.40055165,0.23010413]|1525758733694
8|Game Rotation Vector|[0.2801841,0.7932308,0.4246644,0.33457726]|1525758733694
8|Linear Acceleration|[2.6896784,2.0411139,8.910327]|1525758733694
8|Gravity|[-2.8716378,8.44549,-4.0740395]|1525758733694
8|3-axis Uncalibrated Gyroscope|[-0.12677033,-0.49003658,0.3845722,0.009587673,-0.0031958907,0.0021305939]|1525758733699
8|3-axis Gyroscope|[-0.13635801,-0.4868407,0.3824416]|1525758733700
8|Game Rotation Vector|[0.28132153,0.79242647,0.42490816,0.33521858]|1525758733700
8|Linear Acceleration|[2.6835496,2.033022,8.8978405]|1525758733700
8|Gravity|[-2.865509,8.453582,-4.0615525]|1525758733699
8|3-axis Accelerometer|[-0.1340753,10.218452,4.4580035]|1525758733704
8|3-axis Uncalibrated Gyroscope|[-0.10866029,-0.5443667,0.5230608,0.009587673,-0.0031958907,0.0021305939]|1525758733704
8|3-axis Gyroscope|[-0.11824796,-0.54117084,0.52093023]|1525758733704
8|Game Rotation Vector|[0.28279424,0.7915013,0.425191,0.33580613]|1525758733704
8|Linear Acceleration|[2.720629,1.755249,8.507108]|1525758733704
8|Gravity|[-2.8547044,8.463203,-4.049104]|1525758733704
8|3-axis Uncalibrated Gyroscope|[-0.08309316,-0.5859133,0.6253293,0.009587673,-0.0031958907,0.0021305939]|1525758733709
8|3-axis Gyroscope|[-0.092680834,-0.5827174,0.6231987]|1525758733709
8|Game Rotation Vector|[0.2845813,0.7904636,0.42548677,0.33636555]|1525758733709
8|Linear Acceleration|[2.7059138,1.7444248,8.494799]|1525758733709
8|Gravity|[-2.8399892,8.474028,-4.0367947]|1525758733709
8|3-axis Accelerometer|[-0.2825158,9.725247,3.845088]|1525758733714
8|3-axis Uncalibrated Gyroscope|[-0.045807768,-0.60082746,0.692443,0.009587673,-0.0031958907,0.0021305939]|1525758733715
8|3-axis Gyroscope|[-0.05539544,-0.5976316,0.6903124]|1525758733715
8|Game Rotation Vector|[0.28655335,0.7893984,0.42575306,0.33685568]|1525758733714
8|Linear Acceleration|[2.5400808,1.240222,7.8709655]|1525758733714
8|Gravity|[-2.8225965,8.485025,-4.0258775]|1525758733714
8|3-axis Uncalibrated Gyroscope|[0.0021305939,-0.5933704,0.73185897,0.009587673,-0.0031958907,0.0021305939]|1525758733719
8|3-axis Gyroscope|[-0.0074570784,-0.5901745,0.7297284]|1525758733719
8|Game Rotation Vector|[0.28851438,0.78841865,0.4259484,0.33722904]|1525758733719
8|Linear Acceleration|[2.5219004,1.2303133,7.862765]|1525758733719
8|Gravity|[-2.8044162,8.494934,-4.017677]|1525758733719
8|3-axis Accelerometer|[-0.34955344,9.030929,3.3806129]|1525758733724
8|3-axis Uncalibrated Gyroscope|[0.059656627,-0.58058685,0.7467731,0.009587673,-0.0031958907,0.0021305939]|1525758733724
8|3-axis Gyroscope|[0.050068956,-0.57739097,0.74464256]|1525758733724
8|Game Rotation Vector|[0.29071787,0.7874094,0.42606398,0.33754858]|1525758733724
8|Linear Acceleration|[2.434055,0.5262451,7.39213]|1525758733725
8|Gravity|[-2.7836084,8.5046835,-4.011517]|1525758733725
8|3-axis Uncalibrated Gyroscope|[0.12890093,-0.5592809,0.73612016,0.009587673,-0.0031958907,0.0021305939]|1525758733729
8|3-axis Gyroscope|[0.119313255,-0.556085,0.7339896]|1525758733729
8|Game Rotation Vector|[0.29278734,0.7865596,0.4260439,0.3377667]|1525758733729
8|Linear Acceleration|[2.4146154,0.5187044,7.389577]|1525758733729
8|Gravity|[-2.7641687,8.512224,-4.008964]|1525758733729
8|3-axis Accelerometer|[-0.49320555,8.37013,2.96881]|1525758733734
8|3-axis Uncalibrated Gyroscope|[0.21945117,-0.5241261,0.6967042,0.009587673,-0.0031958907,0.0021305939]|1525758733734
8|3-axis Gyroscope|[0.2098635,-0.52093023,0.6945736]|1525758733734
8|Game Rotation Vector|[0.29481852,0.78585577,0.425842,0.33789277]|1525758733733
8|Linear Acceleration|[2.2524383,-0.14728642,6.979477]|1525758733733
8|Gravity|[-2.7456439,8.517416,-4.010667]|1525758733733
8|3-axis Uncalibrated Gyroscope|[0.3142626,-0.48044893,0.6327864,0.009587673,-0.0031958907,0.0021305939]|1525758733738
8|3-axis Gyroscope|[0.30467492,-0.47725302,0.63065577]|1525758733739
8|Game Rotation Vector|[0.2968835,0.7852937,0.42541063,0.33793494]|1525758733739
8|Linear Acceleration|[2.2346265,-0.1498785,6.9861207]|1525758733739
8|Gravity|[-2.727832,8.520008,-4.0173106]|1525758733739
8|3-axis Accelerometer|[-0.6560113,7.7093296,2.7485435]|1525758733744
8|3-axis Uncalibrated Gyroscope|[0.4154658,-0.42505348,0.54117084,0.009587673,-0.0031958907,0.0021305939]|1525758733744
8|3-axis Gyroscope|[0.40587813,-0.4218576,0.53904027]|1525758733744
8|Game Rotation Vector|[0.29872084,0.78496945,0.42475945,0.33788824]|1525758733744
8|Linear Acceleration|[2.0574381,-0.80985165,6.7773314]|1525758733744
8|Gravity|[-2.7134495,8.519181,-4.0287876]|1525758733744
8|3-axis Uncalibrated Gyroscope|[0.52093023,-0.36433154,0.4218576,0.009587673,-0.0031958907,0.0021305939]|1525758733748
8|3-axis Gyroscope|[0.5113425,-0.36113566,0.419727]|1525758733748
8|Game Rotation Vector|[0.30025426,0.78489757,0.42389917,0.33777645]|1525758733748
8|Linear Acceleration|[2.0475316,-0.8055134,6.793132]|1525758733749
8|Gravity|[-2.703543,8.514843,-4.0445886]|1525758733749
8|3-axis Accelerometer|[-1.067814,7.129933,2.6623523]|1525758733754
8|3-axis Uncalibrated Gyroscope|[0.61041516,-0.30254433,0.26952013,0.009587673,-0.0031958907,0.0021305939]|1525758733754
8|3-axis Gyroscope|[0.60082746,-0.29934844,0.26738954]|1525758733754
8|Game Rotation Vector|[0.3016574,0.78508675,0.42267308,0.33762297]|1525758733754
8|Linear Acceleration|[1.6302079,-1.3759913,6.729332]|1525758733754
8|Gravity|[-2.698022,8.505924,-4.06698]|1525758733754
8|3-axis Uncalibrated Gyroscope|[0.67646354,-0.23862651,0.08522376,0.009587673,-0.0031958907,0.0021305939]|1525758733759
8|3-axis Gyroscope|[0.6668759,-0.23543063,0.08309316]|1525758733759
8|Game Rotation Vector|[0.3026238,0.7855253,0.42126748,0.3374948]|1525758733759
8|Linear Acceleration|[1.6314684,-1.3636098,6.7542963]|1525758733758
8|Gravity|[-2.6992824,8.493543,-4.0919437]|1525758733758
8|3-axis Accelerometer|[-1.3982137,6.9767036,2.8634653]|1525758733763
8|3-axis Uncalibrated Gyroscope|[0.71907544,-0.175774,-0.120378554,0.009587673,-0.0031958907,0.0021305939]|1525758733763
8|3-axis Gyroscope|[0.70948774,-0.1725781,-0.122509144]|1525758733764
8|Game Rotation Vector|[0.30316585,0.7862218,0.41963115,0.33742502]|1525758733764
8|Linear Acceleration|[1.3098546,-1.500534,6.9833198]|1525758733764
8|Gravity|[-2.7080684,8.477238,-4.1198545]|1525758733764
8|3-axis Uncalibrated Gyroscope|[0.73185897,-0.11505207,-0.32811147,0.009587673,-0.0031958907,0.0021305939]|1525758733769
8|3-axis Gyroscope|[0.7222713,-0.11185618,-0.33024204]|1525758733769
8|Game Rotation Vector|[0.3032432,0.7871393,0.4178366,0.33744332]|1525758733769
8|Linear Acceleration|[1.3262457,-1.4810019,7.0125537]|1525758733769
8|Gravity|[-2.7244594,8.4577055,-4.1490884]|1525758733769
8|3-axis Accelerometer|[-0.92416185,8.259995,3.394978]|1525758733773
8|3-axis Uncalibrated Gyroscope|[0.72014076,-0.08522376,-0.50388545,0.009587673,-0.0031958907,0.0021305939]|1525758733773
8|3-axis Gyroscope|[0.71055305,-0.08202787,-0.506016]|1525758733773
8|Game Rotation Vector|[0.30294168,0.78816074,0.41600797,0.3375891]|1525758733773
8|Linear Acceleration|[1.8226473,-0.17668438,7.5720425]|1525758733774
8|Gravity|[-2.7468092,8.43668,-4.1770644]|1525758733774
8|3-axis Uncalibrated Gyroscope|[0.68924713,-0.094811425,-0.5891092,0.009587673,-0.0031958907,0.0021305939]|1525758733779
